"UF","nome","PIB","Pop_est_2009","PIB_percapita","v0002_codigo_do_municipio","educação sem instrução","pobreza","renda"
"PERNAMBUCO","Paranatama",52088.41796875,12441,4186.83984375,2610301,82.23891400425238,72.81695354873624,775.9498787135371
"RIO DE JANEIRO","Cordeiro",199012.96875,19902,9999.65039062,3301504,54.433988527727735,22.322033908201618,2364.7468168826927
"CEARÁ","Campos Sales",98834.7265625,26417,3741.33007812,2302701,71.64006708379569,66.31726127570339,1031.8631305537567
"GOIÁS","Iaciara",82438.8828125,12855,6412.97998047,5209903,72.98404697672778,57.2535177174975,1440.7943467357002
"RIO GRANDE DO SUL","Rondinha",82017.515625,5736,14298.73046875,4316204,63.646858734122844,13.049463700861235,3822.944672221127
"PARANÁ","Mariluz",75293.65625,10861,6932.47998047,4115101,72.57847054069593,39.00166691901668,1585.4012265650297
"RIO GRANDE DO SUL","Lavras do Sul",143841.15625,8399,17125.99023438,4311502,62.91914240686762,37.3223847190134,1735.3747408115362
"SÃO PAULO","Águas de Lindóia",172769.0625,16341,10572.73046875,3500501,57.65376580466159,20.35461835102535,2271.391349100024
"PIAUÍ","Nossa Senhora de Nazaré",14816.15527344,4192,3534.38989258,2206753,78.72990110750854,67.91905937820857,1216.2547037850259
"GOIÁS","Jaraguá",299434.40625,41772,7168.29980469,5211800,66.96781079030984,29.357132215326864,1984.625598558401
"BAHIA","Jitaúna",57266.8359375,16365,3499.35009766,2918308,76.47469687447614,69.51989985672384,961.4301330830837
"RIO GRANDE DO SUL","Paim Filho",53447.82421875,4526,11809.05957031,4313607,69.49809100608326,18.699676271682826,2571.2373868791865
"MINAS GERAIS","Aiuruoca",52582.87109375,6210,8467.45019531,3101201,73.07018038108724,35.155313931325175,1674.6579029317368
"MINAS GERAIS","Felisburgo",32274.11328125,7024,4594.83007812,3125606,77.86304024268631,65.32389773272402,986.542858772546
"RIO GRANDE DO SUL","Nova Hartz",323488.78125,17772,18202.16015625,4313060,66.22311686444563,13.99544415665801,2011.6350353849537
"MINAS GERAIS","Conceição da Barra de Minas",27938.48632812,4077,6852.70996094,3115201,69.70740070971053,35.96753635088079,1670.683137550127
"MINAS GERAIS","Santa Rita do Sapucaí",597007.375,36150,16514.73046875,3159605,59.6034998894619,23.672315411214967,2547.7113705248316
"BAHIA","Lapão",109688.2421875,26616,4121.14013672,2919157,73.80343526997775,70.2262547444346,962.350156562204
"PARAÍBA","Boa Vista",65828.1484375,5908,11142.20019531,1400100,51.68845404558292,34.78855880246257,2953.4972012816097
"MINAS GERAIS","Itabirito",817722,43832,18655.8203125,3131901,55.92400493858966,17.35144848010869,2835.316448581726
"RIO GRANDE DO NORTE","Natal",10369581,806203,12862.25,2408102,48.446561288001355,31.01946600471726,3297.948965901766
"PIAUÍ","Alto Longá",41034.5625,14147,2900.58007812,2200301,77.86535904921261,70.19988052511607,1027.9471343803727
"ESPIRITO SANTO","Domingos Martins",308253.09375,32455,9497.86035156,3201902,72.85726262064495,33.76952826658062,1901.9604567114857
"PERNAMBUCO","São Benedito do Sul",38045.48828125,10838,3510.37988281,2612901,80.84507341353283,80.30833921336588,871.89974066819
"GOIÁS","Jesúpolis",13104.99804688,2296,5707.75,5212055,72.29087960444339,44.68357337301675,1515.7358979505386
"MINAS GERAIS","Astolfo Dutra",127486.65625,13109,9725.12011719,3104601,66.3577125675132,22.753105923860844,1941.9025443202206
"PARAÍBA","São José de Espinharas",24638.578125,5045,4883.75976562,2514404,78.3442660060686,67.29283436101097,913.2249941172624
"BAHIA","Anguera",26372.31835938,9826,2683.92993164,2901502,76.04982909923787,69.46930760841606,1389.7343582400451
"GOIÁS","Damianópolis",17035.70117188,3678,4631.77978516,5206701,70.2723166148768,56.223162009395395,1102.5055410859595
"SERGIPE","Ilha das Flores",38105.6328125,8906,4278.64990234,2802700,77.55179700445044,83.21499591598601,715.542922537958
"BAHIA","Caetanos",30036.10546875,12307,2440.57006836,2905156,81.3938316861977,69.0871885146006,1054.7577656548547
"RIO GRANDE DO SUL","Tupandi",114727.6875,3931,29185.36914062,4322251,63.64660625995376,4.198185110099287,2689.72540875238
"MARANHÃO","Alcântara",65418.3046875,22020,2970.86010742,2100204,74.0657289752166,74.99795330938308,791.1883976185994
"BAHIA","Paratinga",96737.9765625,29874,3238.19995117,2923704,74.73366765641117,78.039403324931,869.2005176981517
"SANTA CATARINA","Canelinha",101460,10168,9978.36035156,4203709,69.79962041595022,25.788051010496616,2248.7208341835008
"MINAS GERAIS","Divino",106150.0234375,20099,5281.35986328,3122009,77.78729866005324,52.723705853159494,1301.09514082732
"BAHIA","Floresta Azul",42329.94140625,10364,4084.32006836,2911006,77.98473645238477,68.79856737395126,929.6736230833438
"MATO GROSSO","Jaciara",382745.5625,25922,14765.28027344,5104807,60.13183621364706,27.009499369711264,2413.804714763469
"CEARÁ","Pires Ferreira",31351.3984375,9857,3180.62011719,2310951,75.04564277667276,79.16638861637318,737.7445384453869
"RIO GRANDE DO NORTE","Tibau do Sul",71593.453125,11707,6115.43994141,2414209,70.29918604765155,52.931777129169795,1704.6026499608054
"MARANHÃO","Dom Pedro",79900.609375,22086,3617.69995117,2103802,72.715663819725,64.16098811684607,1130.7076070096025
"MINAS GERAIS","Mato Verde",58693.7109375,12957,4529.87988281,3141009,68.90339879206275,54.72995382641483,1131.1453267545126
"AMAZONAS","São Sebastião do Uatumã",32970.34765625,9268,3557.43994141,1303957,75.95546592585275,73.21837923334544,1709.9581333577787
"MATO GROSSO","Acorizal",51665.796875,5659,9129.84960938,5100102,71.92722621288516,60.81045985126575,1008.3168012801697
"ALAGOAS","Mar Vermelho",15055.91699219,4131,3644.62011719,2704906,79.62377252847881,69.95506586919882,829.0080100639067
"MINAS GERAIS","São João Nepomuceno",177288.109375,26160,6777.06982422,3162906,62.81108528546338,21.23554301500011,2078.148303890155
"MINAS GERAIS","Conceição do Rio Verde",113550.8984375,13244,8573.75976562,3117702,69.75501910885261,40.2313211286134,1825.0391898643509
"MINAS GERAIS","Paiva",11832.640625,1687,7014.00976562,3146602,67.37332806947828,34.84833248359692,1569.8230691677315
"SÃO PAULO","Nova Castilho",26578.25976562,1122,23688.2890625,3532868,57.310640408444655,19.382511122788085,1900.9655077629725
"MINAS GERAIS","Bom Despacho",499249.78125,44265,11278.66015625,3107406,58.31536336748238,19.01112584672085,2694.932944391192
"RIO GRANDE DO SUL","Candelária",409361.71875,30423,13455.66992188,4304200,68.96022349966587,27.803608112405968,1892.533201587692
"SÃO PAULO","Ribeirão Branco",203091,18607,10914.75976562,3543006,73.79020799265376,60.34447325085783,1145.8780846391035
"SANTA CATARINA","Rio Negrinho",531999.8125,44633,11919.4296875,4215000,58.716233443293746,20.824624110758396,2522.467285895704
"CEARÁ","Orós",91515.421875,21784,4201.04003906,2309508,70.67506693027148,60.366275080084975,1034.1852620555962
"PERNAMBUCO","Macaparana",96728.0078125,24031,4025.12988281,2609006,75.07057039306817,65.69440804178984,1084.968182754992
"PARÁ","São Domingos do Araguaia",92794.3046875,22063,4205.87988281,1507151,75.34457692843075,61.64789152351753,1588.169013767074
"ALAGOAS","Jaramataia",23547.14648438,6140,3835.04003906,2703700,77.53907929389389,75.88942419727451,931.4031709367836
"PARÁ","Pacajá",158200.59375,41953,3770.89990234,1505486,83.71947359826963,76.51258764639171,905.309882069426
"SÃO PAULO","Indaiatuba",5156607.5,183803,28055.08007812,3520509,47.362329975208674,9.458169886151133,3720.6690555599157
"SANTA CATARINA","Dona Emma",46140.10546875,3583,12877.50976562,4205100,68.27283179991281,12.42957454417565,3174.656002600826
"SANTA CATARINA","Atalanta",50381.9765625,3402,14809.51953125,4201802,60.80953352208421,22.195388116980553,2501.355385903063
"PARANÁ","Mamborê",263614.625,14332,18393.4296875,4114005,62.2209602092595,33.09175957348807,1957.885310634043
"RIO GRANDE DO SUL","São Martinho da Serra",66114.0390625,3579,18472.76953125,4319125,73.95324650672345,41.642872341023505,1437.0514205263844
"PERNAMBUCO","Custódia",161101.578125,33874,4755.91015625,2605103,76.4221527325577,57.4433884067262,1246.4166535693378
"SÃO PAULO","Cabrália Paulista",113450.7734375,4369,25967.22070312,3508306,64.79539094316861,31.05578774846198,1717.875758793058
"SÃO PAULO","Itaóca",21155.91796875,3143,6731.12011719,3522158,68.95408052134162,53.294798014075695,1306.9053119626662
"PARANÁ","Almirante Tamandaré",577882.25,97523,5925.60009766,4100400,63.25104753146064,20.292878862374586,2329.430553097989
"ESPIRITO SANTO","Nova Venécia",465862.75,46354,10050.11035156,3203908,61.87170006292604,31.846023420773022,1985.9438153613282
"RIO GRANDE DO NORTE","Cerro Corá",50042.41796875,11235,4454.14990234,2402709,74.09850324116135,63.615217315630275,1045.4870776735097
"MINAS GERAIS","Cruzília",104239.1171875,15373,6780.66015625,3120805,67.6742359033905,38.78196107962486,1791.3104843175415
"GOIÁS","Cavalcante",186038.578125,10398,17891.76953125,5205307,78.64808589155531,67.98746845385882,1088.6492754019393
"BAHIA","São José da Vitória",20077.56640625,6270,3202.15991211,2929354,79.21616964744362,71.08834581904573,879.5857943073971
"GOIÁS","Campos Belos",104675.78125,19166,5461.54003906,5204904,63.94513379394503,48.0861932694827,1796.9423923345194
"GOIÁS","Nova Glória",60245.73828125,8632,6979.35009766,5214861,68.4438195875654,44.35132714807725,1469.3981459864715
"MINAS GERAIS","Arinos",113755.6796875,18153,6266.49023438,3104502,68.00143683957289,58.917545058936355,1190.9511811469945
"MARANHÃO","Parnarama",120248.4140625,36300,3312.62988281,2107803,83.37554659028824,78.81664849237697,763.9383811038748
"ALAGOAS","Feira Grande",67006.5546875,21824,3070.32006836,2702603,83.63956974685809,77.36958895687884,735.0026301100353
